country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","18-02-2026 16:00:00",28.39072,77.30059,CO,10,13,11
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","18-02-2026 16:00:00",28.376058,77.315741,CO,40,58,52
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","18-02-2026 16:00:00",28.4417,77.3217,PM10,99,101,100
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","18-02-2026 16:00:00",28.4417,77.3217,SO2,6,6,6
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","18-02-2026 16:00:00",28.4417,77.3217,CO,30,64,58
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","18-02-2026 16:00:00",29.503664,75.467934,NH3,13,15,14
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","18-02-2026 16:00:00",29.503664,75.467934,SO2,10,11,11
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","18-02-2026 16:00:00",29.503664,75.467934,OZONE,63,90,74
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB","18-02-2026 16:00:00",28.060249,76.113115,OZONE,1,12,3
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","18-02-2026 16:00:00",28.1485564,77.3320667,NO2,23,24,24
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","18-02-2026 16:00:00",28.1485564,77.3320667,NH3,8,9,9
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","18-02-2026 16:00:00",28.1485564,77.3320667,SO2,13,14,14
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","18-02-2026 16:00:00",30.7057778,76.8531805555555,NO2,23,27,25
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","18-02-2026 16:00:00",29.432304,76.972765,PM10,51,342,131
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","18-02-2026 16:00:00",28.52123,76.37138,NO2,11,12,12
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","18-02-2026 16:00:00",28.52123,76.37138,CO,30,39,34
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","18-02-2026 16:00:00",22.969611,72.643500,PM10,45,215,136
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","18-02-2026 16:00:00",30.379589,76.778328,NH3,9,12,10
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","18-02-2026 16:00:00",30.379589,76.778328,CO,26,44,34
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","18-02-2026 16:00:00",28.6701,76.9254,NO2,12,14,13
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","18-02-2026 16:00:00",28.3419248,77.319699,PM2.5,48,254,128
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","18-02-2026 16:00:00",28.3419248,77.319699,NO2,19,21,20
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","18-02-2026 16:00:00",28.593883,76.270653,NO2,9,23,15
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","18-02-2026 16:00:00",30.1480566,77.2893471,NO2,36,38,37
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","18-02-2026 16:00:00",30.1480566,77.2893471,CO,26,52,47
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","18-02-2026 16:00:00",30.943887,76.801991,SO2,27,132,78
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","18-02-2026 16:00:00",30.943887,76.801991,CO,39,107,51
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","18-02-2026 16:00:00",30.943887,76.801991,OZONE,17,157,74
India,Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC","18-02-2026 16:00:00",34.031606,75.009712,PM2.5,47,90,69
India,Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC","18-02-2026 16:00:00",34.031606,75.009712,PM10,50,95,73
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","18-02-2026 16:00:00",23.076793,72.627874,OZONE,2,92,50
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","18-02-2026 16:00:00",21.613267,73.010555,NH3,6,7,6
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","18-02-2026 16:00:00",21.755417,72.139056,CO,118,134,120
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","18-02-2026 16:00:00",21.755417,72.139056,OZONE,5,23,14
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","18-02-2026 16:00:00",23.221714,72.654328,NO2,24,37,30
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","18-02-2026 16:00:00",23.221714,72.654328,CO,42,50,46
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","18-02-2026 16:00:00",28.4275,77.1465,PM2.5,NA,NA,NA
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","18-02-2026 16:00:00",29.140560,75.744941,NO2,26,27,26
